# .test .cputime .temperature .time_mat1 .time_mat2
1 0.001134  0.000 0.000018 0.000003
2 0.002204  0.000 0.000004 0.000003
3 0.003142 -0.974 0.000019 0.000003
4 0.004442 -0.974 0.000004 0.000004
5 0.005203 -0.974 0.000016 0.000004
6 0.006310 -0.974 0.000012 0.000004
7 0.007292 -0.487 0.000018 0.000005
8 0.008509 -0.487 0.000013 0.000005
9 0.009666 -0.974 0.000019 0.000006
10 0.010506 -0.974 0.000016 0.000007
11 0.011613  0.000 0.000020 0.000007
12 0.012630  0.000 0.000016 0.000008
13 0.013681 -0.974 0.000022 0.000009
14 0.014720 -0.487 0.000018 0.000010
15 0.015572 -0.487 0.000025 0.000012
16 0.016666 -0.974 0.000020 0.000012
17 0.017735 -0.974 0.000022 0.000015
18 0.018879 -0.487 0.000027 0.000015
19 0.019956 -0.487 0.000026 0.000017
20 0.020880  1.948 0.000030 0.000018
21 0.022323 -0.487 0.000028 0.000019
22 0.024031  0.000 0.000035 0.000021
23 0.024840  0.000 0.000031 0.000023
24 0.025015 -1.461 0.000036 0.000025
25 0.025816 -0.974 0.000035 0.000027
26 0.027026  0.487 0.000041 0.000029
27 0.028321 -0.487 0.000040 0.000031
28 0.029261  0.000 0.000045 0.000033
29 0.030350 -0.487 0.000034 0.000036
30 0.031350  0.000 0.000054 0.000038
31 0.032386  0.000 0.000039 0.000040
32 0.033589 -0.974 0.000061 0.000045
33 0.034537  0.974 0.000038 0.000046
34 0.035538  0.000 0.000058 0.000049
35 0.036493  0.487 0.000043 0.000051
36 0.037496 -0.487 0.000063 0.000054
37 0.038559  0.487 0.000047 0.000057
38 0.039455 -0.974 0.000067 0.000059
39 0.040429  0.000 0.000051 0.000064
40 0.041571  0.487 0.000072 0.000067
41 0.042917  0.000 0.000057 0.000070
42 0.043861  0.974 0.000078 0.000073
43 0.044680  0.487 0.000063 0.000078
44 0.045747 -0.487 0.000082 0.000081
45 0.053422 -0.487 0.000073 0.000086
46 0.057408 -0.487 0.000110 0.000088
47 0.051137  0.487 0.000073 0.000091
48 0.049834  0.487 0.000095 0.000094
49 0.051745  0.487 0.000079 0.000100
50 0.051564  0.487 0.000100 0.000101
51 0.053908  0.487 0.000086 0.000109
52 0.054307  1.461 0.000105 0.000112
53 0.055577 -0.487 0.000092 0.000115
54 0.056382  0.974 0.000113 0.000118
55 0.057589  0.000 0.000097 0.000123
56 0.058374  0.487 0.000117 0.000126
57 0.060583  0.974 0.000115 0.000131
58 0.060508  0.487 0.000124 0.000135
59 0.061770  0.000 0.000123 0.000139
60 0.063198  0.974 0.000132 0.000142
61 0.064097  0.974 0.000130 0.000147
62 0.065109  0.000 0.000138 0.000152
63 0.066266  0.974 0.000137 0.000157
64 0.066999  1.948 0.000144 0.000160
65 0.067691  0.974 0.000145 0.000165
66 0.068741  2.435 0.000152 0.000170
67 0.069926  1.461 0.000153 0.000175
68 0.070484  1.461 0.000162 0.000180
69 0.072204  1.461 0.000160 0.000185
70 0.079673  1.461 0.000173 0.000191
71 0.075776  0.487 0.000175 0.000196
72 0.074336  1.461 0.000174 0.000201
73 0.075883  0.487 0.000183 0.000206
74 0.076982  0.487 0.000182 0.000212
75 0.078088  1.461 0.000192 0.000218
76 0.078793  0.974 0.000237 0.000223
77 0.079529  0.487 0.000203 0.000230
